type,value,time
E,0.6330,131824016.0000
E,0.6320,131827136.0000
T,3271.0000,0.8577
E,0.6300,131830256.0000
E,0.6290,131833392.0000
T,3274.0000,0.8627
E,0.6280,131836512.0000
T,3278.0000,0.8677
E,0.6270,131839640.0000
E,0.6260,131842752.0000
T,3281.0000,0.8727
E,0.6250,131845888.0000
T,3285.0000,0.8777
E,0.6250,131849016.0000
E,0.6250,131852136.0000
T,3289.0000,0.8827
E,0.6240,131855272.0000
E,0.6240,131858384.0000
T,3294.0000,0.8877
E,0.6240,131861512.0000
T,3298.0000,0.8927
E,0.6240,131864632.0000
E,0.6240,131867768.0000
T,3303.0000,0.8977
E,0.6240,131870888.0000
T,3308.0000,0.9027
E,0.6210,131874016.0000
E,0.6130,131877152.0000
T,3313.0000,0.9077
E,0.6040,131880272.0000
E,0.5920,131883392.0000
T,3318.0000,0.9127
E,0.5790,131886520.0000
T,3325.0000,0.9177
E,0.5690,131889640.0000
E,0.5580,131892768.0000
T,3330.0000,0.9227
E,0.5460,131895896.0000
T,3337.0000,0.9277
E,0.5320,131899016.0000
E,0.5190,131902152.0000
T,3344.0000,0.9327
E,0.5030,131905272.0000
E,0.4890,131908400.0000
T,3352.0000,0.9377
E,0.4760,131911504.0000
T,3359.0000,0.9427
E,0.4610,131914640.0000
E,0.4450,131917768.0000
T,3367.0000,0.9477
E,0.4290,131920888.0000
T,3374.0000,0.9527
E,0.4140,131924016.0000
E,0.3980,131927136.0000
T,3382.0000,0.9577
E,0.3820,131930272.0000
E,0.3660,131933384.0000
T,3390.0000,0.9627
E,0.3490,131936504.0000
T,3398.0000,0.9677
E,0.3330,131939640.0000
E,0.3160,131942768.0000
T,3406.0000,0.9727
E,0.3000,131945888.0000
T,3415.0000,0.9777
E,0.2840,131949016.0000
E,0.2660,131952136.0000
T,3423.0000,0.9827
E,0.2490,131955256.0000
E,0.2300,131958400.0000
T,3432.0000,0.9877
E,0.2110,131961512.0000
T,3442.0000,0.9927
E,0.1920,131964632.0000
E,0.1730,131967768.0000
T,3452.0000,0.9977
E,0.1530,131970888.0000
T,3461.0000,1.0027
E,0.1340,131974016.0000
E,0.1150,131977136.0000
T,3471.0000,1.0077
E,0.0960,131980256.0000
E,0.0770,131983392.0000
T,3480.0000,1.0127
E,0.0570,131986520.0000
T,3490.0000,1.0177
E,0.0380,131989632.0000
E,0.0170,131992768.0000
T,3499.0000,1.0227
E,-0.0010,131995888.0000
T,3509.0000,1.0277
E,-0.0210,131999016.0000
E,-0.0430,132002136.0000
T,3519.0000,1.0327
E,-0.0640,132005272.0000
E,-0.0850,132008384.0000
T,3530.0000,1.0377
E,-0.1070,132011512.0000
T,3540.0000,1.0427
E,-0.1270,132014648.0000
E,-0.1470,132017760.0000
T,3551.0000,1.0477
E,-0.1680,132020888.0000
T,3561.0000,1.0527
E,-0.1870,132024016.0000
E,-0.2080,132027152.0000
T,3571.0000,1.0577
E,-0.2280,132030256.0000
E,-0.2480,132033384.0000
T,3581.0000,1.0627
E,-0.2670,132036504.0000
T,3591.0000,1.0681
E,-0.2870,132039632.0000
E,-0.3080,132042768.0000
T,3601.0000,1.0727
E,-0.3290,132045888.0000
T,3612.0000,1.0777
E,-0.3510,132049008.0000
E,-0.3720,132052136.0000
T,3622.0000,1.0827
E,-0.3920,132055264.0000
E,-0.4130,132058400.0000
T,3632.0000,1.0877
E,-0.4330,132061504.0000
T,3643.0000,1.0927
E,-0.4530,132064632.0000
E,-0.4740,132067752.0000
T,3653.0000,1.0977
E,-0.4920,132070888.0000
T,3663.0000,1.1027
E,-0.5120,132074000.0000
E,-0.5330,132077136.0000
T,3672.0000,1.1077
E,-0.5510,132080256.0000
E,-0.5710,132083392.0000
T,3682.0000,1.1127
E,-0.5940,132086520.0000
T,3692.0000,1.1177
E,-0.6130,132089632.0000
E,-0.6340,132092752.0000
T,3702.0000,1.1227
E,-0.6540,132095888.0000
T,3712.0000,1.1277
E,-0.6750,132099016.0000
E,-0.6940,132102136.0000
T,3722.0000,1.1327
E,-0.7120,132105256.0000
E,-0.7310,132108384.0000
T,3732.0000,1.1377
E,-0.7480,132111512.0000
T,3740.0000,1.1426
E,-0.7650,132114632.0000
E,-0.7810,132117768.0000
T,3749.0000,1.1476
E,-0.7980,132120888.0000
T,3758.0000,1.1526
E,-0.8150,132124016.0000
E,-0.8310,132127136.0000
T,3766.0000,1.1576
E,-0.8480,132130256.0000
E,-0.8640,132133384.0000
T,3775.0000,1.1626
E,-0.8820,132136504.0000
T,3784.0000,1.1676
E,-0.8990,132139640.0000
E,-0.9170,132142752.0000
T,3793.0000,1.1726
E,-0.9330,132145904.0000
T,3802.0000,1.1776
E,-0.9490,132149016.0000
E,-0.9640,132152136.0000
T,3810.0000,1.1826
E,-0.9790,132155272.0000
E,-0.9920,132158400.0000
T,3817.0000,1.1876
E,-1.0060,132161504.0000
T,3824.0000,1.1926
E,-1.0200,132164648.0000
E,-1.0320,132167752.0000
T,3831.0000,1.1976
E,-1.0440,132170888.0000
T,3838.0000,1.2026
E,-1.0570,132174000.0000
E,-1.0690,132177136.0000
T,3845.0000,1.2076
E,-1.0810,132180272.0000
E,-1.0930,132183384.0000
T,3851.0000,1.2126
E,-1.1030,132186520.0000
T,3857.0000,1.2176
E,-1.1150,132189632.0000
E,-1.1270,132192752.0000
T,3863.0000,1.2226
E,-1.1380,132195888.0000
T,3869.0000,1.2276
E,-1.1510,132199016.0000
E,-1.1610,132202136.0000
T,3875.0000,1.2326
E,-1.1720,132205272.0000
E,-1.1820,132208384.0000
T,3880.0000,1.2376
E,-1.1920,132211520.0000
T,3886.0000,1.2426
E,-1.2010,132214632.0000
E,-1.2100,132217768.0000
T,3890.0000,1.2476
E,-1.2190,132220896.0000
T,3894.0000,1.2526
E,-1.2260,132224016.0000
E,-1.2340,132227136.0000
T,3898.0000,1.2576
E,-1.2410,132230264.0000
E,-1.2470,132233384.0000
T,3901.0000,1.2626
E,-1.2530,132236520.0000
T,3905.0000,1.2676
E,-1.2600,132239648.0000
E,-1.2660,132242752.0000
T,3908.0000,1.2726
E,-1.2720,132245904.0000
T,3911.0000,1.2776
E,-1.2760,132249016.0000
E,-1.2800,132252144.0000
T,3913.0000,1.2826
E,-1.2850,132255256.0000
E,-1.2900,132258384.0000
T,3915.0000,1.2876
E,-1.2930,132261512.0000
T,3917.0000,1.2926
E,-1.2970,132264640.0000
E,-1.3000,132267768.0000
T,3918.0000,1.2976
E,-1.3020,132270888.0000
T,3920.0000,1.3026
E,-1.3040,132274016.0000
E,-1.3060,132277136.0000
T,3920.0000,1.3076
E,-1.3070,132280264.0000
E,-1.3090,132283384.0000
T,3921.0000,1.3126
E,-1.3090,132286520.0000
T,3921.0000,1.3176
E,-1.3100,132289632.0000
E,-1.3110,132292768.0000
T,3921.0000,1.3226
E,-1.3110,132295888.0000
T,3921.0000,1.3276
E,-1.3110,132299016.0000
E,-1.3110,132302136.0000
T,3921.0000,1.3326
E,-1.3110,132305256.0000
E,-1.3110,132308384.0000
T,3921.0000,1.3376
E,-1.3110,132311504.0000
T,3920.0000,1.3426
E,-1.3110,132314640.0000
E,-1.3100,132317752.0000
T,3919.0000,1.3476
E,-1.3090,132320888.0000
T,3916.0000,1.3526
E,-1.3080,132324000.0000
E,-1.3080,132327136.0000
T,3914.0000,1.3576
E,-1.3060,132330272.0000
E,-1.3040,132333384.0000
T,3911.0000,1.3626
E,-1.3020,132336520.0000
T,3908.0000,1.3676
E,-1.2980,132339640.0000
E,-1.2940,132342760.0000
T,3905.0000,1.3726
E,-1.2890,132345888.0000
T,3901.0000,1.3776
E,-1.2820,132349016.0000
E,-1.2740,132352136.0000
T,3896.0000,1.3826
E,-1.2670,132355256.0000
E,-1.2590,132358384.0000
T,3892.0000,1.3880
E,-1.2500,132361504.0000
T,3888.0000,1.3926
E,-1.2410,132364640.0000
E,-1.2310,132367768.0000
T,3882.0000,1.3976
E,-1.2220,132370888.0000
T,3877.0000,1.4026
E,-1.2130,132374016.0000
E,-1.2020,132377136.0000
T,3872.0000,1.4076
E,-1.1920,132380256.0000
E,-1.1810,132383384.0000
T,3866.0000,1.4126
E,-1.1700,132386520.0000
T,3859.0000,1.4176
E,-1.1570,132389640.0000
E,-1.1460,132392768.0000
T,3853.0000,1.4226
E,-1.1330,132395888.0000
T,3846.0000,1.4276
E,-1.1220,132399016.0000
E,-1.1080,132402152.0000
T,3840.0000,1.4326
E,-1.0960,132405264.0000
E,-1.0830,132408384.0000
T,3833.0000,1.4376
E,-1.0700,132411520.0000
T,3826.0000,1.4426
E,-1.0570,132414640.0000
E,-1.0430,132417760.0000
T,3819.0000,1.4475
E,-1.0280,132420888.0000
T,3811.0000,1.4526
E,-1.0150,132424016.0000
E,-1.0020,132427136.0000
T,3804.0000,1.4575
E,-0.9880,132430272.0000
E,-0.9720,132433392.0000
T,3795.0000,1.4625
E,-0.9560,132436520.0000
T,3787.0000,1.4675
E,-0.9390,132439640.0000
E,-0.9220,132442752.0000
T,3778.0000,1.4725
E,-0.9050,132445904.0000
T,3769.0000,1.4775
E,-0.8880,132449008.0000
E,-0.8720,132452136.0000
T,3760.0000,1.4825
E,-0.8550,132455256.0000
E,-0.8390,132458384.0000
T,3751.0000,1.4875
E,-0.8210,132461520.0000
T,3742.0000,1.4925
E,-0.8040,132464640.0000
E,-0.7870,132467752.0000
T,3733.0000,1.4975
E,-0.7690,132470888.0000
T,3724.0000,1.5025
E,-0.7530,132474016.0000
E,-0.7370,132477136.0000
T,3715.0000,1.5075
E,-0.7190,132480264.0000
E,-0.7020,132483392.0000
T,3706.0000,1.5125
E,-0.6830,132486512.0000
T,3695.0000,1.5175
E,-0.6640,132489632.0000
E,-0.6440,132492768.0000
T,3685.0000,1.5225
E,-0.6250,132495888.0000
T,3675.0000,1.5275
E,-0.6070,132499008.0000
E,-0.5890,132502152.0000
T,3665.0000,1.5325
E,-0.5710,132505272.0000
E,-0.5530,132508384.0000
T,3655.0000,1.5375
E,-0.5350,132511512.0000
T,3645.0000,1.5425
E,-0.5170,132514640.0000
E,-0.5000,132517760.0000
T,3635.0000,1.5475
E,-0.4810,132520888.0000
T,3625.0000,1.5525
E,-0.4620,132524016.0000
E,-0.4420,132527136.0000
T,3615.0000,1.5575
E,-0.4230,132530272.0000
T,3605.0000,1.5625
E,-0.4040,132533392.0000
E,-0.3840,132536512.0000
T,3594.0000,1.5675
E,-0.3660,132539632.0000
E,-0.3460,132542760.0000
T,3584.0000,1.5725
E,-0.3260,132545888.0000
T,3573.0000,1.5775
E,-0.3070,132549016.0000
E,-0.2880,132552152.0000
T,3563.0000,1.5825
E,-0.2710,132555272.0000
E,-0.2530,132558384.0000
T,3554.0000,1.5875
E,-0.2340,132561504.0000
T,3543.0000,1.5925
E,-0.2150,132564640.0000
E,-0.1960,132567768.0000
T,3533.0000,1.5975
E,-0.1760,132570888.0000
T,3523.0000,1.6025
E,-0.1570,132574016.0000
E,-0.1380,132577152.0000
T,3512.0000,1.6075
E,-0.1170,132580256.0000
T,3502.0000,1.6125
E,-0.0980,132583392.0000
E,-0.0790,132586512.0000
T,3492.0000,1.6175
E,-0.0610,132589632.0000
E,-0.0430,132592768.0000
T,3482.0000,1.6225
E,-0.0250,132595888.0000
T,3472.0000,1.6275
E,-0.0060,132599016.0000
E,0.0100,132602144.0000
T,3463.0000,1.6325
E,0.0300,132605256.0000
T,3454.0000,1.6375
E,0.0480,132608392.0000
E,0.0670,132611512.0000
T,3444.0000,1.6425
E,0.0850,132614640.0000
E,0.1010,132617768.0000
T,3435.0000,1.6475
E,0.1200,132620888.0000
T,3426.0000,1.6525
E,0.1370,132624016.0000
E,0.1540,132627152.0000
T,3417.0000,1.6575
E,0.1700,132630264.0000
T,3408.0000,1.6625
E,0.1870,132633400.0000
E,0.2020,132636504.0000
T,3400.0000,1.6675
E,0.2180,132639648.0000
E,0.2330,132642768.0000
T,3392.0000,1.6725
E,0.2480,132645888.0000
T,3384.0000,1.6774
E,0.2630,132649016.0000
E,0.2780,132652136.0000
T,3377.0000,1.6825
E,0.2930,132655256.0000
T,3369.0000,1.6874
E,0.3080,132658392.0000
E,0.3230,132661504.0000
T,3361.0000,1.6925
E,0.3370,132664632.0000
E,0.3510,132667768.0000
T,3354.0000,1.6974
E,0.3650,132670888.0000
T,3347.0000,1.7024
E,0.3790,132674016.0000
E,0.3940,132677152.0000
T,3339.0000,1.7079
E,0.4060,132680272.0000
T,3333.0000,1.7125
E,0.4190,132683392.0000
E,0.4340,132686512.0000
T,3326.0000,1.7175
E,0.4450,132689632.0000
E,0.4560,132692768.0000
T,3321.0000,1.7224
E,0.4650,132695888.0000
T,3316.0000,1.7274
E,0.4760,132699008.0000
E,0.4890,132702136.0000
T,3310.0000,1.7324
E,0.4990,132705264.0000
T,3305.0000,1.7374
E,0.5080,132708376.0000
E,0.5170,132711520.0000
T,3300.0000,1.7424
E,0.5260,132714640.0000
E,0.5350,132717768.0000
T,3296.0000,1.7474
E,0.5440,132720888.0000
T,3292.0000,1.7524
E,0.5530,132724016.0000
E,0.5620,132727152.0000
T,3287.0000,1.7574
E,0.5690,132730272.0000
T,3284.0000,1.7624
E,0.5760,132733384.0000
E,0.5820,132736520.0000
T,3280.0000,1.7674
E,0.5880,132739632.0000
E,0.5950,132742768.0000
T,3277.0000,1.7724
E,0.6000,132745888.0000
T,3274.0000,1.7774
E,0.6050,132749016.0000
E,0.6110,132752136.0000
T,3271.0000,1.7824
E,0.6160,132755256.0000
T,3269.0000,1.7874
E,0.6200,132758392.0000
E,0.6250,132761504.0000
T,3267.0000,1.7924
E,0.6290,132764648.0000
E,0.6310,132767752.0000
T,3266.0000,1.7974
E,0.6340,132770888.0000
T,3264.0000,1.8024
E,0.6360,132774000.0000
E,0.6380,132777136.0000
T,3263.0000,1.8074
E,0.6400,132780256.0000
T,3263.0000,1.8124
E,0.6410,132783376.0000
E,0.6410,132786520.0000
T,3263.0000,1.8174
E,0.6420,132789632.0000
E,0.6430,132792760.0000
T,3262.0000,1.8224
E,0.6430,132795888.0000
T,3262.0000,1.8274
E,0.6430,132799008.0000
E,0.6430,132802136.0000
T,3262.0000,1.8324
E,0.6420,132805272.0000
T,3263.0000,1.8374
E,0.6410,132808392.0000
E,0.6400,132811512.0000
T,3264.0000,1.8424
E,0.6370,132814640.0000
E,0.6350,132817768.0000
T,3266.0000,1.8474
E,0.6340,132820888.0000
T,3268.0000,1.8524
E,0.6330,132824016.0000
E,0.6310,132827152.0000
T,3271.0000,1.8574
E,0.6300,132830272.0000
T,3274.0000,1.8624
E,0.6280,132833392.0000
E,0.6270,132836512.0000
T,3278.0000,1.8674
E,0.6260,132839632.0000
E,0.6250,132842752.0000
T,3281.0000,1.8724
E,0.6250,132845888.0000
T,3285.0000,1.8774
E,0.6240,132849016.0000
E,0.6240,132852136.0000
T,3289.0000,1.8824
E,0.6230,132855264.0000
T,3293.0000,1.8874
E,0.6230,132858384.0000
E,0.6230,132861512.0000
T,3298.0000,1.8924
E,0.6230,132864640.0000
E,0.6230,132867752.0000
T,3303.0000,1.8974
E,0.6240,132870888.0000
T,3308.0000,1.9024
E,0.6220,132874016.0000
E,0.6160,132877136.0000
T,3313.0000,1.9074
E,0.6070,132880256.0000
T,3318.0000,1.9124
E,0.5960,132883392.0000
E,0.5830,132886520.0000
T,3324.0000,1.9174
