type,value,time
T,3929.0000,2.6289
G,10000.0000,2.6300
T,3929.0000,2.6391
G,10000.0000,2.6400
T,3929.0000,2.6492
G,10000.0000,2.6500
T,3929.0000,2.6593
G,10000.0000,2.6600
T,3929.0000,2.6694
G,10000.0000,2.6700
T,3929.0000,2.6795
G,10000.0000,2.6800
T,3929.0000,2.6886
G,10000.0000,2.6900
T,3929.0000,2.6988
G,10000.0000,2.7000
T,3929.0000,2.7089
G,10000.0000,2.7100
T,3929.0000,2.7190
G,10000.0000,2.7200
T,3929.0000,2.7291
G,10000.0000,2.7300
T,3929.0000,2.7392
G,10000.0000,2.7400
T,3929.0000,2.7494
G,10000.0000,2.7500
T,3929.0000,2.7595
G,10000.0000,2.7600
T,3929.0000,2.7686
G,10000.0000,2.7700
T,3929.0000,2.7787
G,10000.0000,2.7800
T,3929.0000,2.7888
G,10000.0000,2.7900
T,3929.0000,2.7989
G,10000.0000,2.8000
T,3929.0000,2.8091
G,10000.0000,2.8100
T,3929.0000,2.8192
G,10000.0000,2.8200
T,3929.0000,2.8293
G,10000.0000,2.8300
T,3929.0000,2.8394
G,10000.0000,2.8400
T,3929.0000,2.8485
G,10000.0000,2.8500
T,3929.0000,2.8597
G,10000.0000,2.8600
T,3929.0000,2.8688
G,10000.0000,2.8700
T,3929.0000,2.8789
G,10000.0000,2.8800
T,3929.0000,2.8890
G,10000.0000,2.8900
T,3929.0000,2.8991
G,10000.0000,2.9000
T,3929.0000,2.9092
G,10000.0000,2.9100
T,3929.0000,2.9194
G,10000.0000,2.9200
T,3929.0000,2.9295
G,10000.0000,2.9300
T,3929.0000,2.9386
G,10000.0000,2.9400
T,3929.0000,2.9487
G,10000.0000,2.9500
T,3929.0000,2.9588
G,10000.0000,2.9600
T,3929.0000,2.9689
G,10000.0000,2.9700
T,3929.0000,2.9791
G,10000.0000,2.9800
T,3929.0000,2.9892
G,10000.0000,2.9900
T,3929.0000,2.9993
G,10000.0000,3.0000
T,3929.0000,3.0094
G,10000.0000,3.0100
T,3929.0000,3.0185
G,10000.0000,3.0200
T,3929.0000,3.0287
G,10000.0000,3.0300
T,3929.0000,3.0388
G,10000.0000,3.0400
T,3929.0000,3.0489
G,10000.0000,3.0500
T,3929.0000,3.0590
G,10000.0000,3.0600
T,3929.0000,3.0691
G,10000.0000,3.0700
T,3929.0000,3.0792
G,10000.0000,3.0800
T,3929.0000,3.0894
G,10000.0000,3.0900
T,3929.0000,3.0985
G,10000.0000,3.1000
T,3929.0000,3.1086
G,10000.0000,3.1100
T,3929.0000,3.1187
G,10000.0000,3.1200
T,3929.0000,3.1288
G,10000.0000,3.1300
T,3929.0000,3.1390
G,10000.0000,3.1400
T,3929.0000,3.1491
G,10000.0000,3.1500
T,3929.0000,3.1592
G,10000.0000,3.1600
T,3929.0000,3.1693
G,10000.0000,3.1700
T,3929.0000,3.1794
G,10000.0000,3.1800
T,3929.0000,3.1885
G,10000.0000,3.1900
T,3929.0000,3.1986
G,10000.0000,3.2000
T,3929.0000,3.2088
G,10000.0000,3.2100
T,3929.0000,3.2189
G,10000.0000,3.2200
T,3929.0000,3.2290
G,10000.0000,3.2300
T,3929.0000,3.2391
G,10000.0000,3.2400
T,3929.0000,3.2492
G,10000.0000,3.2500
T,3929.0000,3.2594
G,10000.0000,3.2600
T,3929.0000,3.2685
G,10000.0000,3.2700
T,3929.0000,3.2786
G,10000.0000,3.2800
T,3929.0000,3.2887
G,10000.0000,3.2900
T,3929.0000,3.2988
G,10000.0000,3.3000
T,3929.0000,3.3089
G,10000.0000,3.3100
T,3929.0000,3.3191
G,10000.0000,3.3200
T,3929.0000,3.3292
G,10000.0000,3.3300
T,3929.0000,3.3393
G,10000.0000,3.3400
T,3929.0000,3.3484
G,10000.0000,3.3500
T,3929.0000,3.3585
G,10000.0000,3.3600
T,3929.0000,3.3686
G,10000.0000,3.3700
T,3929.0000,3.3788
G,10000.0000,3.3800
T,3929.0000,3.3889
G,10000.0000,3.3900
T,3929.0000,3.3990
G,10000.0000,3.4000
T,3929.0000,3.4091
G,10000.0000,3.4100
T,3929.0000,3.4192
G,10000.0000,3.4200
T,3929.0000,3.4283
G,10000.0000,3.4300
T,3929.0000,3.4385
G,10000.0000,3.4400
T,3929.0000,3.4486
G,10000.0000,3.4500
T,3929.0000,3.4587
G,10000.0000,3.4600
T,3929.0000,3.4688
G,10000.0000,3.4700
T,3929.0000,3.4790
G,10000.0000,3.4800
T,3929.0000,3.4891
G,10000.0000,3.4900
T,3929.0000,3.4992
G,10000.0000,3.5000
T,3929.0000,3.5083
G,10000.0000,3.5100
T,3929.0000,3.5184
G,10000.0000,3.5200
T,3929.0000,3.5285
G,10000.0000,3.5300
T,3929.0000,3.5386
G,10000.0000,3.5400
T,3929.0000,3.5488
G,10000.0000,3.5500
T,3929.0000,3.5589
G,10000.0000,3.5600
T,3929.0000,3.5690
G,10000.0000,3.5700
T,3929.0000,3.5791
G,10000.0000,3.5800
T,3929.0000,3.5882
G,10000.0000,3.5900
T,3929.0000,3.5984
G,10000.0000,3.6000
T,3929.0000,3.6085
G,10000.0000,3.6100
T,3929.0000,3.6186
G,10000.0000,3.6200
T,3929.0000,3.6287
G,10000.0000,3.6300
T,3929.0000,3.6388
G,10000.0000,3.6400
T,3929.0000,3.6490
G,10000.0000,3.6500
T,3929.0000,3.6591
G,10000.0000,3.6600
T,3929.0000,3.6692
G,10000.0000,3.6700
T,3929.0000,3.6783
G,10000.0000,3.6800
T,3929.0000,3.6884
G,10000.0000,3.6900
T,3929.0000,3.6985
G,10000.0000,3.7000
T,3929.0000,3.7087
G,10000.0000,3.7100
T,3929.0000,3.7188
G,10000.0000,3.7200
T,3929.0000,3.7289
G,10000.0000,3.7300
T,3929.0000,3.7390
G,10000.0000,3.7400
T,3929.0000,3.7491
G,10000.0000,3.7500
T,3929.0000,3.7582
G,10000.0000,3.7600
T,3929.0000,3.7683
G,10000.0000,3.7700
T,3929.0000,3.7785
G,10000.0000,3.7800
T,3929.0000,3.7886
G,10000.0000,3.7900
T,3929.0000,3.7987
G,10000.0000,3.8000
T,3929.0000,3.8088
G,10000.0000,3.8100
T,3929.0000,3.8189
G,10000.0000,3.8200
T,3929.0000,3.8291
G,10000.0000,3.8300
T,3929.0000,3.8382
G,10000.0000,3.8400
T,3929.0000,3.8483
G,10000.0000,3.8500
T,3929.0000,3.8584
G,10000.0000,3.8600
T,3929.0000,3.8685
G,10000.0000,3.8700
T,3929.0000,3.8786
G,10000.0000,3.8800
T,3929.0000,3.8888
G,10000.0000,3.8900
T,3929.0000,3.8989
G,10000.0000,3.9000
T,3929.0000,3.9090
G,10000.0000,3.9100
T,3929.0000,3.9181
G,10000.0000,3.9200
T,3929.0000,3.9282
G,10000.0000,3.9300
T,3929.0000,3.9383
G,10000.0000,3.9400
T,3929.0000,3.9485
G,10000.0000,3.9500
T,3929.0000,3.9586
G,10000.0000,3.9600
T,3929.0000,3.9687
G,10000.0000,3.9700
T,3929.0000,3.9788
G,10000.0000,3.9800
T,3929.0000,3.9889
G,10000.0000,3.9900
T,3929.0000,3.9991
G,10000.0000,4.0000
